participant_id,participant_number,session_id,label,section,section_index,phase,step,condition,trial_index,trial_file,status,tracker_available,has_tracker_timestamps,start_system_time_stamp,end_system_time_stamp,start_utc,end_utc,elapsed_s
P009,9,S01,practice_reading,,0,,,none,0,,ok,False,False,0,0,2026-03-25T11:15:15.147203Z,2026-03-25T11:15:15.924610Z,0.777
P009,9,S01,mcq_practice-mcq,,0,,,none,0,,ok,False,False,0,0,2026-03-25T11:15:15.924610Z,2026-03-25T11:15:16.410232Z,0.485
P009,9,S01,reading_task_reminder_1,,0,,,none,0,,quit,False,False,0,0,2026-03-25T11:15:16.410232Z,2026-03-25T11:15:17.570641Z,1.16
