segment_name,started_at_utc,ended_at_utc,status,metrics_json
practice_reading,2026-03-25T10:32:54.475725Z,2026-03-25T10:32:55.030170Z,ok,"{""reading_time_sec"": 0.551, ""elapsed_s"": 0.554}"
mcq_practice-mcq,2026-03-25T10:32:55.031170Z,2026-03-25T10:32:55.717357Z,ok,"{""n_items"": 3, ""correct"": 0, ""accuracy_pct"": 0.0, ""mean_rt_ms"": 227, ""elapsed_s"": 0.687}"
reading_task_reminder_1,2026-03-25T10:32:55.718366Z,2026-03-25T10:32:56.133329Z,ok,"{""elapsed_s"": 0.415}"
reading_paragraph_1,2026-03-25T10:32:56.133329Z,2026-03-25T10:32:56.381419Z,ok,"{""paragraph_file"": ""colonycollapse.txt"", ""reading_time_sec"": 0.247, ""elapsed_s"": 0.247}"
mcq_reading1-mcq,2026-03-25T10:32:56.381419Z,2026-03-25T10:32:56.904739Z,ok,"{""n_items"": 3, ""correct"": 1, ""accuracy_pct"": 33.333, ""mean_rt_ms"": 173, ""elapsed_s"": 0.523}"
questionnaire_blank_8,2026-03-25T10:32:56.905745Z,2026-03-25T10:32:57.308355Z,ok,"{""step_number"": 8, ""url"": ""https://www.survey-xact.dk/LinkCollector?key=NRCKWQCGJP95"", ""url_label"": ""Link to questionnaire"", ""url_opened"": true, ""open_error"": """", ""elapsed_s"": 0.402}"
reading_task_reminder_2,2026-03-25T10:33:06.440171Z,2026-03-25T10:33:06.904829Z,ok,"{""elapsed_s"": 0.465}"
reading_paragraph_2,2026-03-25T10:33:06.905835Z,2026-03-25T10:33:07.297337Z,ok,"{""paragraph_file"": ""hubble.txt"", ""reading_time_sec"": 0.391, ""elapsed_s"": 0.391}"
mcq_reading2-mcq,2026-03-25T10:33:07.297337Z,2026-03-25T10:33:08.295857Z,ok,"{""n_items"": 3, ""correct"": 2, ""accuracy_pct"": 66.667, ""mean_rt_ms"": 331, ""elapsed_s"": 0.999}"
questionnaire_blank_12,2026-03-25T10:33:08.297362Z,2026-03-25T10:33:09.192853Z,ok,"{""step_number"": 12, ""url"": ""https://www.survey-xact.dk/LinkCollector?key=NRCKWQCGJP95"", ""url_label"": ""Link to questionnaire"", ""url_opened"": true, ""open_error"": """", ""elapsed_s"": 0.895}"
reading_task_reminder_3,2026-03-25T10:33:10.860808Z,2026-03-25T10:33:11.146979Z,ok,"{""elapsed_s"": 0.286}"
reading_paragraph_3,2026-03-25T10:33:11.147986Z,2026-03-25T10:33:11.997977Z,ok,"{""paragraph_file"": ""salt.txt"", ""reading_time_sec"": 0.85, ""elapsed_s"": 0.85}"
mcq_reading3-mcq,2026-03-25T10:33:11.997977Z,2026-03-25T10:33:12.510253Z,ok,"{""n_items"": 3, ""correct"": 1, ""accuracy_pct"": 33.333, ""mean_rt_ms"": 169, ""elapsed_s"": 0.512}"
questionnaire_blank_16,2026-03-25T10:33:12.511248Z,2026-03-25T10:33:13.130885Z,ok,"{""step_number"": 16, ""url"": ""https://www.survey-xact.dk/LinkCollector?key=NRCKWQCGJP95"", ""url_label"": ""Link to questionnaire"", ""url_opened"": true, ""open_error"": """", ""elapsed_s"": 0.62}"
detectability_practice,2026-03-25T10:33:15.778899Z,2026-03-25T10:33:25.102884Z,quit,"{""stopped_on_trial"": 2, ""stage"": ""stimulus"", ""elapsed_s"": 9.324}"
