segment_name,started_at_utc,ended_at_utc,status,metrics_json
practice_reading,2026-03-25T12:12:12.567444Z,2026-03-25T12:12:13.429838Z,ok,"{""reading_time_sec"": 0.863, ""elapsed_s"": 0.863}"
mcq_practice-mcq,2026-03-25T12:12:13.431397Z,2026-03-25T12:12:13.954543Z,ok,"{""n_items"": 3, ""correct"": 0, ""accuracy_pct"": 0.0, ""mean_rt_ms"": 172, ""elapsed_s"": 0.524}"
reading_task_reminder_1,2026-03-25T12:12:13.955543Z,2026-03-25T12:12:14.646429Z,quit,"{""elapsed_s"": 0.691}"
